pathway	category
Defective CP causes aceruloplasminemia (ACERULOP)	Disease
Intrinsic Pathway of Fibrin Clot Formation	Hemostasis
Common Pathway of Fibrin Clot Formation	Hemostasis
Formation of Fibrin Clot (Clotting Cascade)	Hemostasis
Defective factor IX causes hemophilia B	Disease
Defective factor IX causes thrombophilia	Disease
Defective F8 accelerates dissociation of the A2 domain	Disease
Defective F8 cleavage by thrombin	Disease
Defective F8 binding to von Willebrand factor	Disease
Defective F8 binding to the cell membrane	Disease
Defective cofactor function of FVIIIa variant	Disease
Defective F8 secretion	Disease
Defective F9 variant does not activate FX	Disease
Urea cycle	Metabolism
Purine salvage	Metabolism
Defective PNP disrupts phosphorolysis of (deoxy)guanosine and (deoxy)inosine	Disease
Nucleotide catabolism defects	Disease
Diseases of nucleotide metabolism	Disease
Nucleotide salvage defects	Disease
Defective HPRT1 disrupts guanine and hypoxanthine salvage	Disease
Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants	Disease
PLCG1 events in ERBB2 signaling	Signal Transduction
EGFR Transactivation by Gastrin	Signal Transduction
Constitutive Signaling by EGFRvIII	Disease
Signaling by EGFRvIII in Cancer	Disease
Signaling by Ligand-Responsive EGFR Variants in Cancer	Disease
Gastrin-CREB signalling pathway via PKC and MAPK	Signal Transduction
PTK6 promotes HIF1A stabilization	Signal Transduction
TFAP2 (AP-2) family regulates transcription of growth factors and their receptors	Gene expression (Transcription)
Signaling by ERBB2 ECD mutants	Disease
Manipulation of host energy metabolism	Disease
Uptake and function of diphtheria toxin	Disease
Lactose synthesis	Metabolism
Gamma-carboxylation of protein precursors	Metabolism of proteins
Transport of gamma-carboxylated protein precursors from the endoplasmic reticulum to the Golgi apparatus	Metabolism of proteins
Removal of aminoterminal propeptides from gamma-carboxylated proteins	Metabolism of proteins
Gamma-carboxylation, transport, and amino-terminal cleavage of proteins	Metabolism of proteins
Defective factor XII causes hereditary angioedema	Disease
Extrinsic Pathway of Fibrin Clot Formation	Hemostasis
Defective F9 secretion	Disease
Defective F9 activation	Disease
Defective gamma-carboxylation of F9	Disease
Alternative complement activation	Immune System
Dissolution of Fibrin Clot	Hemostasis
Defective SERPING1 causes hereditary angioedema	Disease
Activation of C3 and C5	Immune System
Defective ADA disrupts (deoxy)adenosine deamination	Disease
Erythrocytes take up carbon dioxide and release oxygen	Transport of small molecules
Erythrocytes take up oxygen and release carbon dioxide	Transport of small molecules
O2/CO2 exchange in erythrocytes	Transport of small molecules
Terminal pathway of complement	Immune System
Activation of the AP-1 family of transcription factors	Immune System
Transcription of E2F targets under negative control by DREAM complex	Cell Cycle
Binding of TCF/LEF:CTNNB1 to target gene promoters	Signal Transduction
TFAP2 (AP-2) family regulates transcription of cell cycle factors	Gene expression (Transcription)
RUNX3 regulates WNT signaling	Gene expression (Transcription)
Regulation of NFE2L2 gene expression	Cellular responses to stimuli
SOS-mediated signalling	Signal Transduction
SHC-related events triggered by IGF1R	Signal Transduction
Signaling by FGFR4 in disease	Disease
MAP2K and MAPK activation	Signal Transduction
Negative regulation of MAPK pathway	Signal Transduction
Signaling by high-kinase activity BRAF mutants	Disease
RAS signaling downstream of NF1 loss-of-function variants	Disease
PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases	Signal Transduction
MET activates RAS signaling	Signal Transduction
Activated NTRK2 signals through RAS	Signal Transduction
Signaling by NTRK3 (TRKC)	Signal Transduction
Activated NTRK3 signals through RAS	Signal Transduction
Constitutive Signaling by Overexpressed ERBB2	Disease
RAS GTPase cycle mutants	Disease
FLT3 signaling in disease	Disease
Signaling by FLT3 fusion proteins	Disease
Signaling by FLT3 ITD and TKD mutants	Disease
Signaling by RAS GAP mutants	Disease
Signaling by RAS GTPase mutants	Disease
RUNX3 regulates p14-ARF	Gene expression (Transcription)
Chylomicron clearance	Transport of small molecules
Influenza Virus Induced Apoptosis	Disease
TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)	Signal Transduction
Loss of Function of TGFBR2 in Cancer	Disease
TGFBR2 MSI Frameshift Mutants in Cancer	Disease
TGFBR2 Kinase Domain Mutants in Cancer	Disease
TGFBR1 LBD Mutants in Cancer	Disease
RUNX3 regulates CDKN1A transcription	Gene expression (Transcription)
PLC-gamma1 signalling	Signal Transduction
NGF processing	Signal Transduction
Prolonged ERK activation events	Signal Transduction
Frs2-mediated activation	Signal Transduction
ARMS-mediated activation	Signal Transduction
Activation of TRKA receptors	Signal Transduction
TRKA activation by NGF	Signal Transduction
Signalling to p38 via RIT and RIN	Signal Transduction
p75NTR regulates axonogenesis	Signal Transduction
Signalling to STAT3	Signal Transduction
NFG and proNGF binds to p75NTR	Signal Transduction
NADE modulates death signalling	Signal Transduction
NRIF signals cell death from the nucleus	Signal Transduction
Axonal growth stimulation	Signal Transduction
Expression and Processing of Neurotrophins	Signal Transduction
YAP1- and WWTR1 (TAZ)-stimulated gene expression	Gene expression (Transcription)
Physiological factors	Muscle contraction
Vasopressin-like receptors	Signal Transduction
Defective AVP does not bind AVPR1A,B and causes neurohypophyseal diabetes insipidus (NDI)	Disease
Defective AVP does not bind AVPR2 and causes neurohypophyseal diabetes insipidus (NDI)	Disease
Androgen biosynthesis	Metabolism
Glucocorticoid biosynthesis	Metabolism
Peptide hormone biosynthesis	Metabolism of proteins
Defective ACTH causes obesity and POMCD	Disease
Mineralocorticoid biosynthesis	Metabolism
Metabolism of amine-derived hormones	Metabolism
Glycoprotein hormones	Metabolism of proteins
Thyroxine biosynthesis	Metabolism
IRS activation	Signal Transduction
Signal attenuation	Signal Transduction
Intestinal infectious diseases	Disease
RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs)	Gene expression (Transcription)
Interleukin-1 processing	Immune System
CLEC7A/inflammasome pathway	Immune System
Regulation of gene expression by Hypoxia-inducible Factor	Cellular responses to stimuli
Interleukin-2 signaling	Immune System
Alpha-defensins	Immune System
Binding and entry of HIV virion	Disease
Other interleukin signaling	Immune System
Intracellular oxygen transport	Transport of small molecules
Scavenging by Class A Receptors	Vesicle-mediated transport
GP1b-IX-V activation signalling	Hemostasis
Type I hemidesmosome assembly	Cell-Cell communication
Breakdown of the nuclear lamina	Programmed Cell Death
ABC transporters in lipid homeostasis	Transport of small molecules
Chylomicron assembly	Transport of small molecules
Chylomicron remodeling	Transport of small molecules
HDL remodeling	Transport of small molecules
VLDL assembly	Transport of small molecules
VLDL clearance	Transport of small molecules
GRB2:SOS provides linkage to MAPK signaling for Integrins 	Hemostasis
p130Cas linkage to MAPK signaling for integrins	Hemostasis
EGR2 and SOX10-mediated initiation of Schwann cell myelination	Developmental Biology
Acetylcholine binding and downstream events	Neuronal System
Presynaptic nicotinic acetylcholine receptors	Neuronal System
Postsynaptic nicotinic acetylcholine receptors	Neuronal System
Highly calcium permeable postsynaptic nicotinic acetylcholine receptors	Neuronal System
Highly calcium permeable nicotinic acetylcholine receptors	Neuronal System
Bicarbonate transporters	Transport of small molecules
Defective SLC4A1 causes hereditary spherocytosis type 4 (HSP4),  distal renal tubular acidosis (dRTA) and dRTA with hemolytic anemia (dRTA-HA)	Disease
Fibronectin matrix formation	Extracellular matrix organization
Nuclear events stimulated by ALK signaling in cancer	Disease
Retinoid metabolism disease events	Disease
Heme biosynthesis	Metabolism
Mtb iron assimilation by chelation	Disease
Metal sequestration by antimicrobial proteins	Immune System
Response to metal ions	Cellular responses to stimuli
Metallothioneins bind metals	Cellular responses to stimuli
Dectin-2 family	Immune System
Virus Assembly and Release	Disease
Fusion and Uncoating of the Influenza Virion	Disease
Entry of Influenza Virion into Host Cell via Endocytosis	Disease
Fusion of the Influenza Virion to the Host Cell Endosome	Disease
Release	Disease
Budding	Disease
Packaging of Eight RNA Segments	Disease
Viral RNP Complexes in the Host Cell Nucleus	Disease
Uncoating of the Influenza Virion	Disease
vRNA Synthesis	Disease
Viral mRNA Translation	Disease
cRNA Synthesis	Disease
Assembly of Viral Components at the Budding Site	Disease
Transport of HA trimer, NA tetramer and M2 tetramer from the endoplasmic reticulum to the Golgi Apparatus	Disease
Inhibition of Interferon Synthesis	Disease
Inhibition of IFN-beta	Disease
Inhibition of PKR	Disease
Microbial modulation of RIPK1-mediated regulated necrosis	Disease
Defective RIPK1-mediated regulated necrosis	Disease
tRNA-derived small RNA (tsRNA or tRNA-related fragment, tRF) biogenesis	Gene expression (Transcription)
Negative feedback regulation of MAPK pathway	Signal Transduction
Formyl peptide receptors bind formyl peptides and many other ligands	Signal Transduction
Relaxin receptors	Signal Transduction
Scavenging by Class F Receptors	Vesicle-mediated transport
Scavenging by Class H Receptors	Vesicle-mediated transport
Platelet sensitization by LDL	Hemostasis
LDL remodeling	Transport of small molecules
Digestion of dietary lipid	Digestion and absorption
RUNX1 regulates transcription of genes involved in differentiation of myeloid cells	Gene expression (Transcription)
PTK6 Expression	Signal Transduction
Regulation of NPAS4 gene expression	Gene expression (Transcription)
Regulation of NPAS4 gene transcription	Gene expression (Transcription)
Advanced glycosylation endproduct receptor signaling	Immune System
Synthesis and processing of ENV and VPU	Disease
Uncoating of the HIV Virion	Disease
Reverse Transcription of HIV RNA	Disease
Minus-strand DNA synthesis	Disease
Plus-strand DNA synthesis	Disease
Nef mediated downregulation of CD28 cell surface expression	Disease
Nef and signal transduction	Disease
Drug-mediated inhibition of ERBB2 signaling	Signal Transduction
Drug resistance in ERBB2 KD mutants	Disease
Resistance of ERBB2 KD mutants to trastuzumab	Disease
Resistance of ERBB2 KD mutants to sapitinib	Disease
Resistance of ERBB2 KD mutants to tesevatinib	Disease
Resistance of ERBB2 KD mutants to neratinib	Disease
Resistance of ERBB2 KD mutants to osimertinib	Disease
Resistance of ERBB2 KD mutants to afatinib	Disease
Resistance of ERBB2 KD mutants to AEE788	Disease
Resistance of ERBB2 KD mutants to lapatinib	Disease
Drug resistance in ERBB2 TMD/JMD mutants	Disease
NGF-independant TRKA activation	Signal Transduction
Activation of NOXA and translocation to mitochondria	Programmed Cell Death
Formation of Senescence-Associated Heterochromatin Foci (SAHF)	Cellular responses to stimuli
PI5P Regulates TP53 Acetylation	Gene expression (Transcription)
Transcriptional activation of p53 responsive genes  	Cell Cycle
Transcriptional  activation of  cell cycle inhibitor p21 	Cell Cycle
Loss of function of TP53 in cancer due to loss of tetramerization ability	Disease
Loss of Function of TP53 in Cancer	Disease
Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET)	Metabolism
Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE)	Metabolism
Biosynthesis of DHA-derived SPMs	Metabolism
Biosynthesis of specialized proresolving mediators (SPMs)	Metabolism
Biosynthesis of protectins	Metabolism
Cross-presentation of particulate exogenous antigens (phagosomes)	Immune System
RHO GTPases Activate NADPH Oxidases	Signal Transduction
Maturation of spike protein	Disease
Translation of Structural Proteins	Disease
Neurotoxicity of clostridium toxins	Disease
Toxicity of tetanus toxin (tetX)	Disease
Hereditary fructose intolerance	Disease
Transport of fatty acids	Transport of small molecules
Metabolism of serotonin	Neuronal System
Serotonin clearance from the synaptic cleft	Neuronal System
Defective CYP17A1 causes AH5	Disease
PECAM1 interactions	Hemostasis
Defective CYP11A1 causes AICSR	Disease
Vpr-mediated induction of apoptosis by mitochondrial outer membrane permeabilization	Disease
Events associated with phagocytolytic activity of PMN cells	Immune System
Defects in biotin (Btn) metabolism	Disease
Defective HLCS causes multiple carboxylase deficiency	Disease
Propionyl-CoA catabolism	Metabolism
Methylation	Metabolism
Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2	Metabolism
Biosynthesis of maresins	Metabolism
Biosynthesis of maresin-like SPMs	Metabolism
CYP2E1 reactions	Metabolism
Recycling of eIF2:GDP	Metabolism of proteins
Response of EIF2AK4 (GCN2) to amino acid deficiency	Cellular responses to stimuli
CD163 mediating an anti-inflammatory response	Disease
Eukaryotic Translation Elongation	Metabolism of proteins
Peptide chain elongation	Metabolism of proteins
Selenocysteine synthesis	Metabolism
Eukaryotic Translation Termination	Metabolism of proteins
Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	Metabolism of RNA
Negative regulation of activity of TFAP2 (AP-2) family transcription factors	Gene expression (Transcription)
TFAP2 (AP-2) family regulates transcription of other transcription factors	Gene expression (Transcription)
TFAP2A acts as a transcriptional repressor during retinoic acid induced cell differentiation	Gene expression (Transcription)
Localization of the PINCH-ILK-PARVIN complex to focal adhesions	Cell-Cell communication
Cell-extracellular matrix interactions	Cell-Cell communication
MET interacts with TNS proteins	Signal Transduction
The IPAF inflammasome	Immune System
CTLA4 inhibitory signaling	Immune System
FLT3 signaling through SRC family kinases	Immune System
Activated NTRK2 signals through FYN	Signal Transduction
NTRK2 activates RAC1	Signal Transduction
Synthesis of PC	Metabolism
Inhibition of replication initiation of damaged DNA by RB1/E2F1	Cell Cycle
Defective translocation of RB1 mutants to the nucleus	Disease
SARS-CoV-1 Genome Replication and Transcription	Disease
Replication of the SARS-CoV-1 genome	Disease
SARS-CoV-2 Genome Replication and Transcription	Disease
Replication of the SARS-CoV-2 genome	Disease
Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1	Cell Cycle
Phosphorylation of proteins involved in the G2/M transition by Cyclin A:Cdc2 complexes	Cell Cycle
Phosphorylation of Emi1	Cell Cycle
Creatine metabolism	Metabolism
NOTCH2 intracellular domain regulates transcription	Signal Transduction
POLB-Dependent Long Patch Base Excision Repair	DNA Repair
Resolution of AP sites via the multiple-nucleotide patch replacement pathway	DNA Repair
Resolution of AP sites via the single-nucleotide replacement pathway	DNA Repair
PCNA-Dependent Long Patch Base Excision Repair	DNA Repair
Abasic sugar-phosphate removal via the single-nucleotide replacement pathway	DNA Repair
Defective HEXA causes GM2G1	Disease
Catecholamine biosynthesis	Metabolism
Synthesis of 5-eicosatetraenoic acids	Metabolism
Abacavir metabolism	Drug ADME
Highly sodium permeable postsynaptic acetylcholine nicotinic receptors	Neuronal System
Adrenoceptors	Signal Transduction
Defective HEXB causes GM2G2	Disease
Defective APRT disrupts adenine salvage	Disease
Defective GALT can cause GALCT	Disease
Galactose catabolism	Metabolism
Defective pro-SFTPB causes SMDP1 and RDS	Disease
Defective CSF2RB causes SMDP5	Disease
Defective CSF2RA causes SMDP4	Disease
Dual Incision in GG-NER	DNA Repair
Oligomerization of connexins into connexons	Vesicle-mediated transport
Transport of connexins along the secretory pathway	Vesicle-mediated transport
Axonal growth inhibition (RHOA activation)	Signal Transduction
Regulated proteolysis of p75NTR	Signal Transduction
GLI proteins bind promoters of Hh responsive genes to promote transcription	Signal Transduction
Muscarinic acetylcholine receptors	Signal Transduction
Defective SLC7A7 causes lysinuric protein intolerance (LPI)	Disease
Mucopolysaccharidoses	Disease
MPS VII - Sly syndrome	Disease
Transfer of LPS from LBP carrier to CD14	Immune System
MET activates PI3K/AKT signaling	Signal Transduction
MET activates PTPN11	Signal Transduction
MET activates RAP1 and RAC1	Signal Transduction
MET receptor recycling	Signal Transduction
MET activates STAT3	Signal Transduction
MECP2 regulates neuronal receptors and channels	Gene expression (Transcription)
Drug-mediated inhibition of MET activation	Signal Transduction
Defective CYP21A2 causes AH3	Disease
RUNX1 regulates transcription of genes involved in interleukin signaling	Gene expression (Transcription)
SARS-CoV-1 modulates host translation machinery	Disease
The activation of arylsulfatases	Metabolism of proteins
Serotonin receptors	Signal Transduction
Adrenaline signalling through Alpha-2 adrenergic receptor	Hemostasis
Gap junction degradation	Vesicle-mediated transport
Formation of annular gap junctions	Vesicle-mediated transport
Glycine degradation	Metabolism
Intestinal saccharidase deficiencies	Disease
Polymerase switching on the C-strand of the telomere	Cell Cycle
Telomere C-strand (Lagging Strand) Synthesis	Cell Cycle
Telomere C-strand synthesis initiation	Cell Cycle
DNA replication initiation	Cell Cycle
Polymerase switching	Cell Cycle
Leading Strand Synthesis	Cell Cycle
Removal of the Flap Intermediate	Cell Cycle
Processive synthesis on the lagging strand	Cell Cycle
Lagging Strand Synthesis	Cell Cycle
Synthesis of Leukotrienes (LT) and Eoxins (EX)	Metabolism
Synthesis of Lipoxins (LX)	Metabolism
Biosynthesis of D-series resolvins	Metabolism
Biosynthesis of EPA-derived SPMs	Metabolism
Biosynthesis of DPA-derived SPMs	Metabolism
Biosynthesis of E-series 18(S)-resolvins	Metabolism
Biosynthesis of aspirin-triggered D-series resolvins	Metabolism
Biosynthesis of E-series 18(R)-resolvins	Metabolism
Biosynthesis of DPAn-3 SPMs	Metabolism
Biosynthesis of DPAn-3-derived protectins and resolvins	Metabolism
Biosynthesis of DPAn-3-derived maresins	Metabolism
Biosynthesis of DPAn-3-derived 13-series resolvins	Metabolism
Biosynthesis of electrophilic ω-3 PUFA oxo-derivatives	Metabolism
Transcription of SARS-CoV-1 sgRNAs	Disease
Assembly of the SARS-CoV-1 Replication-Transcription Complex (RTC)	Disease
Maturation of replicase proteins	Disease
Transcription of SARS-CoV-2 sgRNAs	Disease
Amino Acid conjugation	Metabolism
Conjugation of carboxylic acids	Metabolism
Conjugation of salicylate with glycine	Metabolism
Hydrolysis of LPC	Metabolism
Translesion Synthesis by POLH	DNA Repair
Downregulation of ERBB4 signaling	Signal Transduction
Regulation of innate immune responses to cytosolic DNA	Immune System
Gap-filling DNA repair synthesis and ligation in GG-NER	DNA Repair
PTK6 Regulates RTKs and Their Effectors AKT1 and DOK1	Signal Transduction
Regulation of PTEN localization	Signal Transduction
Pexophagy	Autophagy
Maturation of protein E	Disease
Translation of Structural Proteins	Disease
Maturation of protein E	Disease
FLT3 signaling by CBL mutants	Disease
TRAF6 mediated IRF7 activation in TLR7/8 or 9 signaling	Immune System
Adenosine P1 receptors	Signal Transduction
CaMK IV-mediated phosphorylation of CREB	Signal Transduction
Cam-PDE 1 activation	Signal Transduction
DARPP-32 events	Signal Transduction
CREB1 phosphorylation through the activation of Adenylate Cyclase	Neuronal System
CREB1 phosphorylation through the activation of CaMKII/CaMKK/CaMKIV cascasde	Neuronal System
Ionotropic activity of kainate receptors	Neuronal System
Activation of Ca-permeable Kainate Receptor	Neuronal System
Loss of phosphorylation of MECP2 at T308	Disease
Activation of RAC1 downstream of NMDARs	Neuronal System
Toxicity of botulinum toxin type A (botA)	Disease
Assembly of the SARS-CoV-2 Replication-Transcription Complex (RTC)	Disease
Maturation of replicase proteins	Disease
Virion Assembly and Release	Disease
Maturation of protein 3a	Disease
SARS-CoV-2 modulates autophagy	Disease
Regulation of gap junction activity	Vesicle-mediated transport
SARS-CoV-2 targets PDZ proteins in cell-cell junction	Disease
Maturation of protein M	Disease
Translation of Accessory Proteins	Disease
Maturation of nucleoprotein	Disease
RUNX2 regulates chondrocyte maturation	Gene expression (Transcription)
Mitochondrial iron-sulfur cluster biogenesis	Metabolism
Electron transport from NADPH to Ferredoxin	Metabolism
Activation, myristolyation of BID and translocation to mitochondria	Programmed Cell Death
Glycogen storage disease type II (GAA)	Disease
Acrosome Reaction and Sperm:Oocyte Membrane Binding	Reproduction
Activation of BAD and translocation to mitochondria 	Programmed Cell Death
The NLRP1 inflammasome	Immune System
RUNX3 Regulates Immune Response and Cell Migration	Gene expression (Transcription)
Protein repair	Metabolism of proteins
Defective NEU1 causes sialidosis	Disease
Fatty acids	Metabolism
Miscellaneous substrates	Metabolism
Dasatinib-resistant KIT mutants	Disease
Imatinib-resistant KIT mutants	Disease
KIT mutants bind TKIs	Disease
Masitinib-resistant KIT mutants	Disease
Nilotinib-resistant KIT mutants	Disease
Regorafenib-resistant KIT mutants	Disease
Signaling by kinase domain mutants of KIT	Disease
Sunitinib-resistant KIT mutants	Disease
Signaling by juxtamembrane domain KIT mutants	Disease
Sorafenib-resistant KIT mutants	Disease
Drug resistance of KIT mutants	Disease
Signaling by extracellular domain mutants of KIT	Disease
Toxicity of botulinum toxin type B (botB)	Disease
ATF6 (ATF6-alpha) activates chaperone genes	Cellular responses to stimuli
Defective SLC2A1 causes GLUT1 deficiency syndrome 1 (GLUT1DS1)	Disease
Defective SLC2A2 causes Fanconi-Bickel syndrome (FBS)	Disease
Intestinal absorption	Digestion and absorption
Intestinal hexose absorption	Digestion and absorption
Pyrimidine biosynthesis	Metabolism
Acetylation	Metabolism
STAT5 activation downstream of FLT3 ITD mutants	Disease
mitochondrial fatty acid beta-oxidation of saturated fatty acids	Metabolism
mitochondrial fatty acid beta-oxidation of unsaturated fatty acids	Metabolism
Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA	Metabolism
Beta oxidation of octanoyl-CoA to hexanoyl-CoA	Metabolism
Signaling by FGFR1 amplification mutants	Disease
FGFR1c and Klotho ligand binding and activation	Signal Transduction
Defective CYP19A1 causes AEXS	Disease
Defective pro-SFTPC causes SMDP2 and RDS	Disease
PTK6 Regulates Cell Cycle	Signal Transduction
Diseases of Cellular Senescence	Disease
Evasion of Oncogene Induced Senescence Due to p16INK4A Defects	Disease
Evasion of Oncogene Induced Senescence Due to Defective p16INK4A binding to CDK4	Disease
Evasion of Oncogene Induced Senescence Due to Defective p16INK4A binding to CDK4 and CDK6	Disease
Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects	Disease
Evasion of Oxidative Stress Induced Senescence Due to Defective p16INK4A binding to CDK4	Disease
Evasion of Oxidative Stress Induced Senescence Due to Defective p16INK4A binding to CDK4 and CDK6	Disease
Diseases of cellular response to stress	Disease
Drug-mediated inhibition of CDK4/CDK6 activity	Cell Cycle
5-Phosphoribose 1-diphosphate biosynthesis	Metabolism
Processive synthesis on the C-strand of the telomere	Cell Cycle
Removal of the Flap Intermediate from the C-strand	Cell Cycle
Mismatch Repair	DNA Repair
Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)	DNA Repair
Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)	DNA Repair
Formation of lateral plate mesoderm	Developmental Biology
Regulation of cytoskeletal remodeling and cell spreading by IPP complex components	Cell-Cell communication
Apoptotic cleavage of cell adhesion  proteins	Programmed Cell Death
Regulation of RUNX1 Expression and Activity	Gene expression (Transcription)
Activated NTRK3 signals through PI3K	Signal Transduction
STING mediated induction of host immune responses	Immune System
IRF3-mediated induction of type I IFN	Immune System
RHO GTPases regulate CFTR trafficking	Signal Transduction
Eicosanoids	Metabolism
Synthesis of diphthamide-EEF2	Metabolism of proteins
Vitamin B2 (riboflavin) metabolism	Metabolism
Glycogen storage disease type XV (GYG1)	Disease
Glycogen storage disease type 0 (muscle GYS1)	Disease
ROBO receptors bind AKAP5	Developmental Biology
Defective SLC5A1 causes congenital glucose/galactose malabsorption (GGM)	Disease
Maturation of spike protein	Disease
Dopamine receptors	Signal Transduction
SLBP independent Processing of Histone Pre-mRNAs	Metabolism of RNA
SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs	Metabolism of RNA
Melanin biosynthesis	Metabolism
Interleukin-15 signaling	Immune System
Neurotransmitter uptake and metabolism In glial cells	Neuronal System
Astrocytic Glutamate-Glutamine Uptake And Metabolism	Neuronal System
Fructose biosynthesis	Metabolism
Nectin/Necl  trans heterodimerization	Cell-Cell communication
Interleukin-9 signaling	Immune System
Defective B4GALT1 causes CDG-2d	Disease
Phase 3 - rapid repolarisation	Muscle contraction
Phase 2 - plateau phase	Muscle contraction
Defective CYP11B1 causes AH4	Disease
MPS IIID - Sanfilippo syndrome D	Disease
MPS VI - Maroteaux-Lamy syndrome	Disease
Maturation of protein 3a	Disease
Termination of O-glycan biosynthesis	Metabolism of proteins
Defective GALNT3 causes HFTC	Disease
Defective C1GALT1C1 causes TNPS	Disease
Defective GALNT12 causes CRCS1	Disease
Biosynthesis of DPAn-6 SPMs	Metabolism
PKA-mediated phosphorylation of key metabolic factors	Metabolism
PP2A-mediated dephosphorylation of key metabolic factors	Metabolism
Beta oxidation of hexanoyl-CoA to butanoyl-CoA	Metabolism
Beta oxidation of butanoyl-CoA to acetyl-CoA	Metabolism
MECP2 regulates transcription factors	Gene expression (Transcription)
Imatinib-resistant PDGFR mutants	Disease
Sunitinib-resistant PDGFR mutants	Disease
Regorafenib-resistant PDGFR mutants	Disease
Sorafenib-resistant PDGFR mutants	Disease
Drug resistance of PDGFR mutants	Disease
PDGFR mutants bind TKIs	Disease
Coenzyme A biosynthesis	Metabolism
MPS IV - Morquio syndrome B	Disease
ABO blood group biosynthesis	Metabolism
LTC4-CYSLTR mediated IL4 production	Disease
MGMT-mediated DNA damage reversal	DNA Repair
DNA Damage Reversal	DNA Repair
Methionine salvage pathway	Metabolism
Serotonin and melatonin biosynthesis	Metabolism
RUNX2 regulates genes involved in differentiation of myeloid cells	Gene expression (Transcription)
Folding of actin by CCT/TriC	Metabolism of proteins
PTK6 Down-Regulation	Signal Transduction
Synthesis of Hepoxilins (HX) and Trioxilins (TrX)	Metabolism
Rhesus blood group biosynthesis	Metabolism
Toxicity of botulinum toxin type C (botC)	Disease
Defective CYP11B2 causes CMO-1 deficiency	Disease
Activated NTRK2 signals through PLCG1	Signal Transduction
Activated NTRK3 signals through PLCG1	Signal Transduction
Toxicity of botulinum toxin type D (botD)	Disease
Defective HK1 causes hexokinase deficiency (HK deficiency)	Disease
Defective GGT1 causes GLUTH	Disease
Defective GGT1 in aflatoxin detoxification causes GLUTH	Disease
Sodium/Proton exchangers	Transport of small molecules
NR1H2 & NR1H3 regulate gene expression to limit cholesterol uptake 	Signal Transduction
NR1H2 & NR1H3 regulate gene expression linked to gluconeogenesis 	Signal Transduction
DEx/H-box helicases activate type I IFN and inflammatory cytokines production 	Immune System
Defective TCN2 causes TCN2 deficiency	Disease
Defective CD320 causes MMATC	Disease
Tachykinin receptors bind tachykinins	Signal Transduction
Diseases of Mismatch Repair (MMR)	Disease
Defective Mismatch Repair Associated With MSH3	Disease
Defective Mismatch Repair Associated With MSH2	Disease
NTF3 activates NTRK2 (TRKB) signaling	Signal Transduction
NTF3 activates NTRK3 signaling	Signal Transduction
MTF1 activates gene expression	Cellular responses to stimuli
Amine Oxidase reactions	Metabolism
Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB	Metabolism
Enzymatic degradation of dopamine by COMT	Neuronal System
Enzymatic degradation of Dopamine by monoamine oxidase	Neuronal System
Dopamine clearance from the synaptic cleft	Neuronal System
Defective MAOA causes BRUNS	Disease
Defective ABCB4 causes PFIC3, ICP3 and GBD1	Disease
Toxicity of botulinum toxin type G (botG)	Disease
Interconversion of polyamines	Metabolism
Eicosanoid ligand-binding receptors	Signal Transduction
Prostanoid ligand receptors	Signal Transduction
Signaling by FGFR2 amplification mutants	Disease
Signaling by FGFR2 fusions	Disease
Defective MMAA causes MMA, cblA type	Disease
Defective MUT causes MMAM	Disease
Cobalamin (Cbl) metabolism	Metabolism
Diseases of mitochondrial beta oxidation	Disease
Diseases of propionyl-CoA catabolism	Disease
MPS II - Hunter syndrome	Disease
Defective UGT1A1 causes hyperbilirubinemia	Disease
Defective UGT1A4 causes hyperbilirubinemia	Disease
FGFR4 mutant receptor activation	Disease
t(4;14) translocations of FGFR3	Disease
Signaling by FGFR3 fusions in cancer	Disease
COX reactions	Metabolism
Interleukin-21 signaling	Immune System
Metabolism of ingested SeMet, Sec, MeSec into H2Se	Metabolism
Defective AHCY causes HMAHCHD	Disease
BDNF activates NTRK2 (TRKB) signaling	Signal Transduction
Activated NTRK2 signals through PI3K	Signal Transduction
Activated NTRK2 signals through CDK5	Signal Transduction
Toxicity of botulinum toxin type F (botF)	Disease
Defective SLC6A2 causes orthostatic intolerance (OI)	Disease
Alanine metabolism	Metabolism
Defective TBXAS1 causes GHDD	Disease
Ketone body metabolism	Metabolism
Utilization of Ketone Bodies	Metabolism
Synthesis of Ketone Bodies	Metabolism
Histamine receptors	Signal Transduction
APC truncation mutants are not K63 polyubiquitinated	Disease
FasL/ CD95L signaling	Signal Transduction
SUMOylation of immune response proteins	Metabolism of proteins
